zip_code,latitude,longitude,city,state,county
80201,39.726303,-104.856808,Denver,CO,Denver
80202,39.760189,-104.996553,Denver,CO,Denver
80203,39.729205,-104.970331,Denver,CO,Denver
80204,39.720136,-105.021502,Denver,CO,Denver
80205,39.760137,-104.967585,Denver,CO,Denver
80206,39.730787,-104.953335,Denver,CO,Denver
80207,39.713186,-104.903532,Denver,CO,Denver
80208,39.738752,-104.408349,Denver,CO,Denver
80209,39.707332,-104.964236,Denver,CO,Denver
80210,39.701677,-104.964186,Denver,CO,Denver
80211,39.765291,-105.018387,Denver,CO,Denver
80212,39.768286,-105.049338,Denver,CO,Denver
80216,39.777036,-104.942034,Denver,CO,Denver
80217,39.738752,-104.408349,Denver,CO,Denver
80218,39.720236,-104.968759,Denver,CO,Denver
80219,39.695014,-105.034339,Denver,CO,Denver
80220,39.732436,-104.910843,Denver,CO,Denver
80222,39.709343,-104.924134,Denver,CO,Denver
80223,39.707186,-105.008762,Denver,CO,Denver
80224,39.702037,-104.911434,Denver,CO,Denver
80227,39.667479,-105.067136,Denver,CO,Denver
80230,39.721848,-104.895093,Denver,CO,Denver
80231,39.68493,-104.886785,Denver,CO,Denver
80235,39.645837,-105.065003,Denver,CO,Denver
80236,39.649837,-105.034988,Denver,CO,Denver
80237,39.638537,-104.903984,Denver,CO,Denver
80238,39.738752,-104.408349,Denver,CO,Denver
80239,39.804398,-104.813919,Denver,CO,Denver
80243,39.738752,-104.408349,Denver,CO,Denver
80244,39.738752,-104.408349,Denver,CO,Denver
80246,39.708637,-104.931234,Denver,CO,Denver
80248,39.738752,-104.408349,Denver,CO,Denver
80249,39.83776,-104.697674,Denver,CO,Denver
80250,39.738752,-104.408349,Denver,CO,Denver
80251,39.738752,-104.408349,Denver,CO,Denver
80252,39.738752,-104.408349,Denver,CO,Denver
80254,39.738752,-104.408349,Denver,CO,Denver
80255,39.738752,-104.408349,Denver,CO,Denver
80256,39.74739,-104.992842,Denver,CO,Denver
80257,39.738752,-104.408349,Denver,CO,Denver
80259,39.746239,-104.991334,Denver,CO,Denver
80261,39.737929,-104.985036,Denver,CO,Denver
80262,39.731038,-104.938391,Denver,CO,Denver
80263,39.738752,-104.408349,Denver,CO,Denver
80264,39.74259,-104.986292,Denver,CO,Denver
80265,39.738752,-104.408349,Denver,CO,Denver
80266,39.747179,-104.991511,Denver,CO,Denver
80270,39.738752,-104.408349,Denver,CO,Denver
80271,39.738752,-104.408349,Denver,CO,Denver
80273,39.727293,-104.987535,Denver,CO,Denver
80274,39.743934,-104.987577,Denver,CO,Denver
80275,39.738752,-104.408349,Denver,CO,Denver
80279,39.738752,-104.408349,Denver,CO,Denver
80280,39.716675,-104.906942,Denver,CO,Denver
80281,39.74394,-104.987577,Denver,CO,Denver
80285,,,Denver,CO,Denver
80290,39.743608,-104.987556,Denver,CO,Denver
80291,39.74394,-104.987577,Denver,CO,Denver
80292,39.74739,-104.992842,Denver,CO,Denver
80293,39.745786,-104.990686,Denver,CO,Denver
80294,39.749086,-104.989036,Denver,CO,Denver
80295,39.745486,-104.986336,Denver,CO,Denver
80299,39.738752,-104.408349,Denver,CO,Denver
