zip_code,latitude,longitude,city,state,county
91901,32.74081,-116.976341,Alpine,CA,San Diego
91902,32.67387,-117.020668,Bonita,CA,San Diego
91903,33.016928,-116.846046,Alpine,CA,San Diego
91905,33.016928,-116.846046,Boulevard,CA,San Diego
91906,33.016928,-116.846046,Campo,CA,San Diego
91908,33.016928,-116.846046,Bonita,CA,San Diego
91909,33.016928,-116.846046,Chula Vista,CA,San Diego
91910,32.636922,-117.050072,Chula Vista,CA,San Diego
91911,32.615983,-117.034012,Chula Vista,CA,San Diego
91912,33.016928,-116.846046,Chula Vista,CA,San Diego
91913,32.639967,-116.984669,Chula Vista,CA,San Diego
91914,32.656159,-116.966139,Chula Vista,CA,San Diego
91915,32.629234,-116.948228,Chula Vista,CA,San Diego
91916,33.016928,-116.846046,Descanso,CA,San Diego
91917,33.016928,-116.846046,Dulzura,CA,San Diego
91921,33.016928,-116.846046,Chula Vista,CA,San Diego
91931,33.016928,-116.846046,Guatay,CA,San Diego
91932,32.578991,-117.117351,Imperial Beach,CA,San Diego
91933,33.016928,-116.846046,Imperial Beach,CA,San Diego
91934,33.016928,-116.846046,Jacumba,CA,San Diego
91935,33.016928,-116.846046,Jamul,CA,San Diego
91941,32.76105,-116.998102,La Mesa,CA,San Diego
91942,32.781084,-117.018638,La Mesa,CA,San Diego
91943,33.016928,-116.846046,La Mesa,CA,San Diego
91944,33.016928,-116.846046,La Mesa,CA,San Diego
91945,32.732288,-117.037344,Lemon Grove,CA,San Diego
91946,33.016928,-116.846046,Lemon Grove,CA,San Diego
91947,33.016928,-116.846046,Lincoln Acres,CA,San Diego
91948,33.016928,-116.846046,Mount Laguna,CA,San Diego
91950,32.671194,-117.084353,National City,CA,San Diego
91951,33.016928,-116.846046,National City,CA,San Diego
91962,33.016928,-116.846046,Pine Valley,CA,San Diego
91963,33.016928,-116.846046,Potrero,CA,San Diego
91976,33.016928,-116.846046,Spring Valley,CA,San Diego
91977,32.718352,-117.000109,Spring Valley,CA,San Diego
91978,32.733452,-116.957898,Spring Valley,CA,San Diego
91979,33.016928,-116.846046,Spring Valley,CA,San Diego
91980,33.016928,-116.846046,Tecate,CA,San Diego
91987,33.016928,-116.846046,Tecate,CA,San Diego
91990,33.016928,-116.846046,Potrero,CA,San Diego
92003,33.016928,-116.846046,Bonsall,CA,San Diego
92004,33.016928,-116.846046,Borrego Springs,CA,San Diego
92007,33.023042,-117.274469,Cardiff By The Sea,CA,San Diego
92008,33.016928,-116.846046,Carlsbad,CA,San Diego
92009,33.082192,-117.267169,Carlsbad,CA,San Diego
92013,33.016928,-116.846046,Carlsbad,CA,San Diego
92014,32.974074,-117.224167,Del Mar,CA,San Diego
92018,33.016928,-116.846046,Carlsbad,CA,San Diego
92019,32.865113,-117.041287,El Cajon,CA,San Diego
92020,32.787514,-116.960836,El Cajon,CA,San Diego
92021,32.822138,-116.885508,El Cajon,CA,San Diego
92022,33.016928,-116.846046,El Cajon,CA,San Diego
92023,33.016928,-116.846046,Encinitas,CA,San Diego
92024,33.054154,-117.250253,Encinitas,CA,San Diego
92025,33.057128,-117.083403,Escondido,CA,San Diego
92026,33.016928,-116.846046,Escondido,CA,San Diego
92027,33.016928,-116.846046,Escondido,CA,San Diego
92028,33.016928,-116.846046,Fallbrook,CA,San Diego
92029,33.071941,-117.158497,Escondido,CA,San Diego
92030,33.016928,-116.846046,Escondido,CA,San Diego
92033,33.016928,-116.846046,Escondido,CA,San Diego
92036,33.016928,-116.846046,Julian,CA,San Diego
92037,32.898511,-117.225744,La Jolla,CA,San Diego
92038,33.016928,-116.846046,La Jolla,CA,San Diego
92039,33.016928,-116.846046,La Jolla,CA,San Diego
92040,32.893498,-116.898945,Lakeside,CA,San Diego
92046,33.016928,-116.846046,Escondido,CA,San Diego
92049,33.016928,-116.846046,Oceanside,CA,San Diego
92051,33.016928,-116.846046,Oceanside,CA,San Diego
92052,33.016928,-116.846046,Oceanside,CA,San Diego
92054,33.016928,-116.846046,Oceanside,CA,San Diego
92055,33.016928,-116.846046,Camp Pendleton,CA,San Diego
92056,33.016928,-116.846046,Oceanside,CA,San Diego
92057,33.016928,-116.846046,Oceanside,CA,San Diego
92058,33.016928,-116.846046,Oceanside,CA,San Diego
92059,33.016928,-116.846046,Pala,CA,San Diego
92060,33.016928,-116.846046,Palomar Mountain,CA,San Diego
92061,33.016928,-116.846046,Pauma Valley,CA,San Diego
92064,32.994097,-117.030299,Poway,CA,San Diego
92065,33.031572,-116.976549,Ramona,CA,San Diego
92066,33.016928,-116.846046,Ranchita,CA,San Diego
92067,33.005026,-117.21569,Rancho Santa Fe,CA,San Diego
92068,33.016928,-116.846046,San Luis Rey,CA,San Diego
92069,33.099573,-117.215112,San Marcos,CA,San Diego
92070,33.016928,-116.846046,Santa Ysabel,CA,San Diego
92071,32.843956,-116.994511,Santee,CA,San Diego
92072,33.016928,-116.846046,Santee,CA,San Diego
92074,33.016928,-116.846046,Poway,CA,San Diego
92075,33.007075,-117.256769,Solana Beach,CA,San Diego
92078,33.016928,-116.846046,San Marcos,CA,San Diego
92079,33.016928,-116.846046,San Marcos,CA,San Diego
92082,33.016928,-116.846046,Valley Center,CA,San Diego
92083,33.016928,-116.846046,Vista,CA,San Diego
92084,33.016928,-116.846046,Vista,CA,San Diego
92085,33.016928,-116.846046,Vista,CA,San Diego
92086,33.016928,-116.846046,Warner Springs,CA,San Diego
92088,33.016928,-116.846046,Fallbrook,CA,San Diego
92090,33.016928,-116.846046,El Cajon,CA,San Diego
92091,32.962307,-117.046183,Rancho Santa Fe,CA,San Diego
92092,33.016928,-116.846046,La Jolla,CA,San Diego
92093,33.016928,-116.846046,La Jolla,CA,San Diego
92096,33.016928,-116.846046,San Marcos,CA,San Diego
92101,32.7211,-117.174366,San Diego,CA,San Diego
92102,32.71712,-117.118604,San Diego,CA,San Diego
92103,32.746085,-117.170517,San Diego,CA,San Diego
92104,32.73875,-117.128908,San Diego,CA,San Diego
92105,32.7374,-117.087313,San Diego,CA,San Diego
92106,32.709355,-117.232764,San Diego,CA,San Diego
92107,32.735,-117.202669,San Diego,CA,San Diego
92108,32.774699,-117.148616,San Diego,CA,San Diego
92109,32.794748,-117.239392,San Diego,CA,San Diego
92110,32.775849,-117.207965,San Diego,CA,San Diego
92111,32.803717,-117.16643,San Diego,CA,San Diego
92112,33.016928,-116.846046,San Diego,CA,San Diego
92113,32.694601,-117.121678,San Diego,CA,San Diego
92114,32.70614,-117.051651,San Diego,CA,San Diego
92115,32.7576,-117.070688,San Diego,CA,San Diego
92116,32.7654,-117.127894,San Diego,CA,San Diego
92117,32.818398,-117.197168,San Diego,CA,San Diego
92118,32.656176,-117.160815,Coronado,CA,San Diego
92119,32.815849,-117.033162,San Diego,CA,San Diego
92120,32.794947,-117.079863,San Diego,CA,San Diego
