alias,categories_0_alias,categories_0_title,categories_1_alias,categories_1_title,categories_2_alias,categories_2_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,is_closed,location_address1,location_address2,location_address3,location_city,location_country,location_display_address_0,location_display_address_1,location_display_address_2,location_state,location_zip_code,name,phone,price,rating,review_count,transactions_0,transactions_1,url
trinitea-tea-san-diego-2,coffee,Coffee & Tea,desserts,Desserts,bubbletea,Bubble Tea,32.8033981323242,-117.01065826416,(619) 337-2670,7666.66165318813,2MZhZUKvYSUEoZgPa7NDtw,https://s3-media1.fl.yelpcdn.com/bphoto/cC1YmP3JeEY5EnCLxE4Ryg/o.jpg,False,8680 Navajo Rd,Ste 109,,San Diego,US,8680 Navajo Rd,Ste 109,"San Diego, CA 92119",CA,92119,Trinitea Tea,+16193372670,$,4.0,385,pickup,,https://www.yelp.com/biz/trinitea-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
sharetea-san-diego-12,bubbletea,Bubble Tea,coffee,Coffee & Tea,juicebars,Juice Bars & Smoothies,32.7643448,-117.0613886,(619) 993-1533,8399.922597321573,6KQJy0IEQu_46M5fw8NWVg,https://s3-media2.fl.yelpcdn.com/bphoto/6PCN0PrE9c651yOaq_Oiyg/o.jpg,False,6353 El Cajon Blvd,Ste 134,,San Diego,US,6353 El Cajon Blvd,Ste 134,"San Diego, CA 92115",CA,92115,Sharetea,+16199931533,$,4.5,70,,,https://www.yelp.com/biz/sharetea-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
kung-fu-tea-santee-santee,bubbletea,Bubble Tea,coffee,Coffee & Tea,icecream,Ice Cream & Frozen Yogurt,32.838088,-116.989825,(619) 312-0880,10889.999065156006,vsWkEMrOVKowdgdf6-VhOg,https://s3-media4.fl.yelpcdn.com/bphoto/pF6iOHTmy6wizoQVfZ9z3Q/o.jpg,False,9535 Mission Gorge Rd,Ste I,,Santee,US,9535 Mission Gorge Rd,Ste I,"Santee, CA 92071",CA,92071,Kung Fu Tea - Santee,+16193120880,$,4.5,143,,,https://www.yelp.com/biz/kung-fu-tea-santee-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
halo-halo-cafe-and-ice-cream-parlor-chula-vista,icecream,Ice Cream & Frozen Yogurt,filipino,Filipino,bubbletea,Bubble Tea,32.6614953040893,-116.970271751605,(619) 946-4878,8837.6474109498,y-yptcvk27mIsIjGWCqcAg,https://s3-media3.fl.yelpcdn.com/bphoto/_u-nwsPk2WbLcb9s3L_pyg/o.jpg,False,2326 Proctor Valley Rd,Ste 103,,Chula Vista,US,2326 Proctor Valley Rd,Ste 103,"Chula Vista, CA 91914",CA,91914,Halo Halo Cafe & Ice Cream Parlor,+16199464878,$,3.5,220,,,https://www.yelp.com/biz/halo-halo-cafe-and-ice-cream-parlor-chula-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
lollicup-chula-vista,bubbletea,Bubble Tea,coffee,Coffee & Tea,juicebars,Juice Bars & Smoothies,32.6445754785441,-116.996617227934,(619) 656-1488,10867.700857858503,OqELGZ9aBp4g2beGW62zaw,https://s3-media2.fl.yelpcdn.com/bphoto/pjmj5hHPv_HpHkv83JjaCQ/o.jpg,False,1550 East H St # H,Ste H,,Chula Vista,US,1550 East H St # H,Ste H,"Chula Vista, CA 91913",CA,91913,Lollicup,+16196561488,$,4.5,170,,,https://www.yelp.com/biz/lollicup-chula-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
tea-station-san-diego-3,bubbletea,Bubble Tea,desserts,Desserts,juicebars,Juice Bars & Smoothies,32.7608256358017,-117.067477075492,(619) 582-9888,8808.696046311723,WnyBSpONYe0w1hsDUBK_Sw,https://s3-media3.fl.yelpcdn.com/bphoto/hmnAs2ET5s1_8wlq6FWlZw/o.jpg,False,6061 El Cajon Blvd,Ste D,,San Diego,US,6061 El Cajon Blvd,Ste D,"San Diego, CA 92115",CA,92115,Tea Station,+16195829888,$,3.0,244,delivery,,https://www.yelp.com/biz/tea-station-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
house-of-pho-national-city-7,vietnamese,Vietnamese,bubbletea,Bubble Tea,,,32.6817180113244,-117.073756121099,(619) 470-3988,11235.743218064508,6Bym9FbUNQ7Z2LgiQZzrlQ,https://s3-media1.fl.yelpcdn.com/bphoto/F3GEyCIEi3jXp0_pVxFPVw/o.jpg,False,3120 E Plaza Blvd,,,National City,US,3120 E Plaza Blvd,"National City, CA 91950",,CA,91950,House of Pho,+16194703988,$,4.0,74,,,https://www.yelp.com/biz/house-of-pho-national-city-7?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
chai-waii-chinese-food-santee,bubbletea,Bubble Tea,cantonese,Cantonese,,,32.844898,-116.996983,(619) 596-8898,11733.774027283678,C3tkrjaQgS7PfJO7OqMotQ,https://s3-media2.fl.yelpcdn.com/bphoto/uQF6hugjC7MLg_DwMEoCFA/o.jpg,False,9225 Carlton Hills Blvd,Ste 19,,Santee,US,9225 Carlton Hills Blvd,Ste 19,"Santee, CA 92071",CA,92071,Chai Waii Chinese Food,+16195968898,$$,3.5,125,pickup,delivery,https://www.yelp.com/biz/chai-waii-chinese-food-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
tastea-grill-hawaiian-bbq-and-grill-chula-vista,hawaiian,Hawaiian,bubbletea,Bubble Tea,,,32.62323,-116.99755,(619) 216-0608,13218.532918804765,DLknwnUE3hGtExY-xdhTrA,https://s3-media1.fl.yelpcdn.com/bphoto/b5_R0zsJPaUwMRVweyMcbw/o.jpg,False,1392 E Palomar St,Ste 305,,Chula Vista,US,1392 E Palomar St,Ste 305,"Chula Vista, CA 91913",CA,91913,Tastea Grill Hawaiian BBQ & Grill,+16192160608,$,3.0,182,,,https://www.yelp.com/biz/tastea-grill-hawaiian-bbq-and-grill-chula-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
beachin-boba-san-marcos-2,bubbletea,Bubble Tea,foodtrucks,Food Trucks,catering,Caterers,33.13157,-117.22549,(760) 496-8722,57344.17363016748,5-C507I1pIn8sskMDyAYGw,https://s3-media2.fl.yelpcdn.com/bphoto/Fu3k6yyToH3SF3E7qyamcw/o.jpg,False,,,,San Marcos,US,"San Marcos, CA 92083",,,CA,92083,Beachin' Boba,+17604968722,$,4.5,18,,,https://www.yelp.com/biz/beachin-boba-san-marcos-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
