name,coordinates_latitude,coordinates_longitude,url
Trinitea Tea,32.80339813,-117.0106583,https://www.yelp.com/biz/trinitea-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Sharetea,32.7643448,-117.0613886,https://www.yelp.com/biz/sharetea-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea - Santee,32.838088,-116.989825,https://www.yelp.com/biz/kung-fu-tea-santee-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Halo Halo Cafe & Ice Cream Parlor,32.6614953,-116.9702718,https://www.yelp.com/biz/halo-halo-cafe-and-ice-cream-parlor-chula-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Lollicup,32.64457548,-116.9966172,https://www.yelp.com/biz/lollicup-chula-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tea Station,32.76082564,-117.0674771,https://www.yelp.com/biz/tea-station-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
House of Pho,32.68171801,-117.0737561,https://www.yelp.com/biz/house-of-pho-national-city-7?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Chai Waii Chinese Food,32.844898,-116.996983,https://www.yelp.com/biz/chai-waii-chinese-food-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tastea Grill Hawaiian BBQ & Grill,32.62323,-116.99755,https://www.yelp.com/biz/tastea-grill-hawaiian-bbq-and-grill-chula-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Beachin' Boba,33.13157,-117.22549,https://www.yelp.com/biz/beachin-boba-san-marcos-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
